Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,441
design__inferred_latch__count,0
design__instance__count,2607
design__instance__area,15826.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0023437952622771263
power__switching__total,0.0023263725452125072
power__leakage__total,1.7900882554044983E-8
power__total,0.004670185502618551
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.1074156766160046
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.10910427037306493
timing__hold__ws__corner:nom_tt_025C_1v80,0.4959608974998776
timing__setup__ws__corner:nom_tt_025C_1v80,4.295374844055294
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.495961
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.160615
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.11121624769254015
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.1131605258194029
timing__hold__ws__corner:nom_ss_100C_1v60,1.0824068614449398
timing__setup__ws__corner:nom_ss_100C_1v60,0.26144509519552084
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.082407
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.750839
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.1063972967622898
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.10711305756650874
timing__hold__ws__corner:nom_ff_n40C_1v95,0.2648870087138077
timing__setup__ws__corner:nom_ff_n40C_1v95,5.840158744133443
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.264887
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.721718
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,6
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.10519645174931741
clock__skew__worst_setup,0.10615915391677257
timing__hold__ws,0.2617306723211067
timing__setup__ws,0.1959836792769872
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.261731
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.691805
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 231.25 241.97
design__core__bbox,5.52 10.88 225.4 228.48
design__io,102
design__die__area,55955.6
design__core__area,47845.9
design__instance__count__stdcell,2607
design__instance__area__stdcell,15826.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.330779
design__instance__utilization__stdcell,0.330779
design__instance__count__class:inverter,16
design__instance__count__class:sequential_cell,84
design__instance__count__class:multi_input_combinational_cell,1520
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3676
design__instance__count__class:tap_cell,656
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,44014.2
design__violations,0
design__instance__count__class:timing_repair_buffer,310
design__instance__count__class:clock_buffer,11
design__instance__count__class:clock_inverter,5
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,59
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
route__net,2006
route__net__special,2
route__drc_errors__iter:1,762
route__wirelength__iter:1,46860
route__drc_errors__iter:2,334
route__wirelength__iter:2,46513
route__drc_errors__iter:3,281
route__wirelength__iter:3,46501
route__drc_errors__iter:4,17
route__wirelength__iter:4,46497
route__drc_errors__iter:5,0
route__wirelength__iter:5,46488
route__drc_errors,0
route__wirelength,46488
route__vias,12934
route__vias__singlecut,12934
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,293.02
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,6
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.10652161398898814
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.10799426936165171
timing__hold__ws__corner:min_tt_025C_1v80,0.49105337852533293
timing__setup__ws__corner:min_tt_025C_1v80,4.3724083369313815
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.491053
